id,session,page,lon,lat,time
375,1477944615861,2,-73.949590694,40.7544805566,11445
376,1477944615861,3,-73.945158379,40.7516962719,13513
377,1477944615861,4,-73.925699435,40.7722480972,48019
378,1477944615861,5,-73.9638605863,40.7593937158,26879
379,1477944615861,6,-73.9529419566,40.7918114583,8337
380,1477944615861,7,-73.9526176409,40.7769962207,18601
381,1477944615861,8,-73.9370504857,40.7594755987,18191
382,1477944615861,9,-73.9613741657,40.7612769972,13341
383,1477944615861,10,-73.9406179587,40.7552994417,4878
384,1477944615861,11,-73.9522933251,40.7757682902,3793
385,1477946840416,1,-73.9568337454,40.7784697072,23485
386,1477946840416,2,-73.9530500618,40.7918114583,88389
387,1477946840416,3,-73.9635362705,40.7606219488,9087
388,1477946840416,4,-73.9530500618,40.7769143593,23051
389,1477946840416,5,-73.9534824828,40.7914022419,1888
390,1477946840416,6,-73.9612660604,40.7594755987,1374
391,1477946840416,7,-73.9585634293,40.7837903587,1385
392,1477946840416,8,-73.9264561717,40.7717568927,2667
393,1477946840416,9,-73.9613741657,40.7798613034,5921
394,1477946840416,10,-73.9607255342,40.7800250186,2072
395,1477946840416,11,-73.9607255342,40.7800250186,1515
396,1477947567928,1,-73.9272129084,40.769710168,7520
397,1477947567928,2,-73.9520771146,40.7557088805,12462
398,1477947567928,3,-73.9232130144,40.771593157,5829
399,1477947567928,4,-73.960185008,40.766189654,20841
400,1477947567928,5,-73.9559689034,40.7712656845,14684
401,1477947567928,6,-73.9368342752,40.7595574815,12321
402,1477947567928,7,-73.9267804875,40.7726574316,14492
403,1477947567928,8,-73.9576985873,40.7828899707,14665
404,1477947567928,9,-73.9306722763,40.766189654,11392
405,1477947567928,10,-73.9397531168,40.7566096368,6667
406,1477947567928,11,-73.9554283772,40.7724118313,5380
407,1477948729878,1,-73.927699382,40.7698739083,20064
408,1477948729878,2,-73.9630497969,40.7628327111,16728
409,1477948729878,3,-73.9603471658,40.766353403,28727
410,1477948729878,4,-73.9591580081,40.7593937158,14910
411,1477948729878,5,-73.9208887516,40.7708563416,18714
412,1477948729878,6,-73.9582931662,40.7689733316,11126
413,1477948729878,7,-73.9593742186,40.7838722115,12464
414,1477948729878,8,-73.9646713756,40.7607857115,17616
415,1477948729878,9,-73.9217535936,40.7702832573,6168
416,1477948729878,10,-73.9401314851,40.7566096368,8753
417,1477948729878,11,-73.9603471658,40.8062142656,6561
418,1477949140415,1,-73.9223481724,40.7674996345,7833
