1, 23842, -73.92365901474672, 40.77044584620607
2, 15149, -73.9646309023608, 40.782479875727475
3, 32656, -73.96506332333826, 40.762258185731575
4, 67798, -73.93057775038604, 40.77191951796179
5, 76443, -73.95792837721021, 40.759146610261794
6, 39280, -73.96419848138333, 40.80400470704256
7, 14097, -73.95598248281165, 40.75791831669065
8, 34372, -73.95511764085673, 40.7941025145026
9, 9341, -73.96776595444736, 40.76201254033235
10, 8528, -73.95522574610109, 40.79377514407203
11, 3633, -73.95122585205962, 40.79942205775418
